,#Niveles,Nmodel,a(m),b(m),h(m),t(m),Lm(m),V(kN),Δmax(‰),VolConc(m3)
32,7,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1752.2030744484919,6.04300995457839,307.65000000000003
33,7,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1766.9894467261383,5.8654579182764115,311.84999999999997
34,7,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1774.9495449957603,5.677709196896613,316.05
35,7,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1886.768390251716,5.487993221140193,320.25
36,7,613,0.49999999999999994,0.25,0.5499999999999999,0.25,1.6000000000000005,1876.1596589766518,5.295498765538189,324.45
37,7,862,0.49999999999999994,0.25,0.5499999999999999,0.25,1.7000000000000006,1980.4786472996095,5.102978030420606,328.65000000000003
38,7,1111,0.49999999999999994,0.25,0.5499999999999999,0.25,1.8000000000000007,1973.8517136446471,4.929213933689637,332.84999999999997
39,7,1360,0.49999999999999994,0.25,0.5499999999999999,0.25,1.9000000000000008,2043.5983966496794,4.791098687249329,337.05
40,7,1609,0.49999999999999994,0.25,0.5499999999999999,0.25,2.000000000000001,2092.858022951464,4.65389163477343,341.25
41,7,1858,0.49999999999999994,0.25,0.5499999999999999,0.25,2.100000000000001,2155.051849765136,4.518693959622594,345.45
42,7,2108,0.49999999999999994,0.25,0.6,0.25,2.200000000000001,2356.03485938646,4.144698624209838,363.65000000000003
43,7,2364,0.5499999999999999,0.25,0.5499999999999999,0.25,2.300000000000001,2451.7142019227745,4.153394569714014,381.43
44,7,2637,0.6,0.25,0.65,0.25,2.4000000000000012,2832.519676919276,3.514974347986787,443.8
45,7,2965,0.7000000000000001,0.25,0.5499999999999999,0.25,2.5000000000000013,2999.249712877957,3.780207158490955,488.25
46,8,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1672.2467894952583,6.59331705181023,342.0
47,8,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,1833.8356839714088,6.408091797751714,346.8
48,8,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1691.8789948423605,6.277061963829277,351.6
49,8,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1759.3450236513413,6.095014659406234,356.4
50,8,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1794.9252749126872,5.900954980360795,361.2
51,8,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1889.788941701612,5.700069388667747,366.0
52,8,613,0.49999999999999994,0.25,0.5499999999999999,0.25,1.6000000000000005,1872.940369420745,5.497466530174005,370.8
53,8,862,0.49999999999999994,0.25,0.5499999999999999,0.25,1.7000000000000006,1967.6275562590297,5.296769748212686,375.6
54,8,1111,0.49999999999999994,0.25,0.5499999999999999,0.25,1.8000000000000007,1978.772027010586,5.1533877888963175,380.4
55,8,1360,0.49999999999999994,0.25,0.5499999999999999,0.25,1.9000000000000008,2009.9798187202275,5.007159031914995,385.2
56,8,1609,0.49999999999999994,0.25,0.5499999999999999,0.25,2.000000000000001,2097.7808935972826,4.861459325943687,390.0
57,8,1858,0.49999999999999994,0.25,0.5499999999999999,0.25,2.100000000000001,2140.4532899102205,4.71694805854046,394.8
58,8,2107,0.49999999999999994,0.25,0.5499999999999999,0.25,2.200000000000001,2210.6890672865143,4.574592643803772,399.6
59,8,2364,0.5499999999999999,0.25,0.5499999999999999,0.25,2.300000000000001,2400.234863319332,4.334664567635591,435.92
60,8,2613,0.5499999999999999,0.25,0.5499999999999999,0.25,2.4000000000000012,2363.6870577492127,4.219183187860471,440.72
61,8,2864,0.5499999999999999,0.25,0.65,0.25,2.5000000000000013,3409.2822755970014,3.055923793241181,477.52
62,9,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1724.9890230136277,6.799245363790198,384.75
63,9,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,1623.4037554669148,6.596031846140839,390.15000000000003
64,9,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1723.4763290563058,6.470596021400043,395.55
65,9,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1777.2606436673188,6.280277502299098,400.95
66,9,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1867.8035067956405,6.0792856703936575,406.34999999999997
67,9,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1923.193404874566,5.870633279508038,411.75
68,9,613,0.49999999999999994,0.25,0.5499999999999999,0.25,1.6000000000000005,1880.6654271195364,5.712236207756106,417.15000000000003
69,9,862,0.49999999999999994,0.25,0.5499999999999999,0.25,1.7000000000000006,1940.1356703516258,5.5609588387752185,422.55
70,9,1111,0.49999999999999994,0.25,0.5499999999999999,0.25,1.8000000000000007,1992.579967883974,5.404473258739959,427.95
71,9,1360,0.49999999999999994,0.25,0.5499999999999999,0.25,1.9000000000000008,2022.1753752519037,5.245660108797289,433.34999999999997
72,9,1609,0.49999999999999994,0.25,0.5499999999999999,0.25,2.000000000000001,2044.4931246097344,5.0869789498688975,438.75
73,9,1858,0.49999999999999994,0.25,0.5499999999999999,0.25,2.100000000000001,2129.349583327573,4.929986342689397,444.15000000000003
74,9,2107,0.49999999999999994,0.25,0.5499999999999999,0.25,2.200000000000001,2155.680502584235,4.782414880057219,449.55
75,9,2364,0.5499999999999999,0.25,0.5499999999999999,0.25,2.300000000000001,2334.8763488838686,4.537283324334146,490.41
76,9,2613,0.5499999999999999,0.25,0.5499999999999999,0.25,2.4000000000000012,2335.886828541418,4.419528544523378,495.81000000000006
77,9,2863,0.5499999999999999,0.25,0.6,0.25,2.5000000000000013,2500.1257336964263,3.215157318497057,519.21
78,10,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1678.673422471616,6.984218044790631,427.5
79,10,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,1690.9629689222268,6.8337117455316765,433.5
80,10,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1736.560096599371,6.671831784589632,439.5
81,10,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1788.3086984188953,6.477955694332014,445.5
82,10,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1822.8243454969488,6.272184675397249,451.5
83,10,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1922.181757372547,6.094618658453641,457.5
84,10,613,0.49999999999999994,0.25,0.5499999999999999,0.25,1.6000000000000005,1977.8500026060956,5.939051992014962,463.5
85,10,862,0.49999999999999994,0.25,0.5499999999999999,0.25,1.7000000000000006,1976.203950684655,5.777104163574491,469.5
86,10,1111,0.49999999999999994,0.25,0.5499999999999999,0.25,1.8000000000000007,1993.9013935247492,5.611436008892219,475.5
87,10,1360,0.49999999999999994,0.25,0.5499999999999999,0.25,1.9000000000000008,2024.898108973649,5.443079006675593,481.5
88,10,1609,0.49999999999999994,0.25,0.5499999999999999,0.25,2.000000000000001,2097.034336148477,5.275118501102109,487.5
89,10,1858,0.49999999999999994,0.25,0.5499999999999999,0.25,2.100000000000001,2131.339186071647,5.10807244083492,493.5
90,10,2107,0.49999999999999994,0.25,0.5499999999999999,0.25,2.200000000000001,2212.399183349726,4.943270284924572,499.5
91,10,2357,0.49999999999999994,0.25,0.6,0.25,2.300000000000001,2362.913151012275,4.530752473493388,525.5
92,10,2613,0.5499999999999999,0.25,0.5499999999999999,0.25,2.4000000000000012,2357.882868098464,4.5593701672200115,550.9000000000001
93,10,2863,0.5499999999999999,0.25,0.6,0.25,2.5000000000000013,2326.5561672142603,3.3833701631039994,576.9
