,#Niveles,Nmodel_opt,a(m),b(m),h(m),t(m),Lm(m),V(kN),Δmax(‰),VolConc(m3),Ropt
0,5,1,0.4999999999999999,0.25,0.5499999999999999,0.25,1.0,1600.3896986212317,5.7396210972633375,213.75,0.026852028525208595
1,6,37,0.4999999999999999,0.25,0.5499999999999999,0.25,1.1,1597.3030531661566,5.811656059833054,260.1,0.022343929488016355
2,7,1,0.4999999999999999,0.25,0.5499999999999999,0.25,1.0,1553.8911382650192,6.31505808833828,299.25,0.021102951005307537
3,8,1,0.4999999999999999,0.25,0.5499999999999999,0.25,1.0,1672.2467894952583,6.59331705181023,342.0,0.019278704829854474
4,9,1,0.4999999999999999,0.25,0.5499999999999999,0.25,1.0,1724.9890230136275,6.799245363790198,384.75,0.017671852797375435
5,10,1,0.4999999999999999,0.25,0.5499999999999999,0.25,1.0,1678.673422471616,6.984218044790631,427.5,0.01633735215155703
